20;2;1;20,575
20;2;4;20,313
20;2;8;22,108
20;2;24;80,917
20;2;48;104,758
20;4;1;16,706
20;4;4;25,756
20;4;8;32,468
20;4;24;103,020
20;4;48;111,990
20;8;1;24,637
20;8;4;40,633
20;8;8;47,511
20;8;24;122,779
20;8;48;258,142
400;2;1;1,422,748
400;2;4;390,445
400;2;8;217,211
400;2;24;374,667
400;2;48;728,780
400;4;1;3,188,775
400;4;4;818,999
400;4;8;425,384
400;4;24;809,585
400;4;48;1,354,477
400;8;1;8,995,582
400;8;4;2,291,258
400;8;8;1,168,005
400;8;24;1,382,027
400;8;48;4,734,391
1000;2;1;9,153,501
1000;2;4;2,411,892
1000;2;8;1,348,101
1000;2;24;1,759,050
1000;2;48;3,841,835
1000;4;1;20,449,825
1000;4;4;5,258,535
1000;4;8;2,736,289
1000;4;24;1,544,504
1000;4;48;4,956,918
1000;8;1;58,682,230
1000;8;4;14,767,413
1000;8;8;7,465,662
1000;8;24;3,589,072
1000;8;48;7,876,233
2000;2;1;37,189,451
2000;2;4;9,688,201
2000;2;8;5,387,113
2000;2;24;2,673,703
2000;2;48;10,889,425
2000;4;1;81,395,464
2000;4;4;20,782,826
2000;4;8;10,914,305
2000;4;24;4,744,830
2000;4;48;10,934,597
2000;8;1;233,937,042
2000;8;4;59,006,004
2000;8;8;29,908,932
2000;8;24;10,890,907
2000;8;48;17,407,677
