74,502;949;31,802,319;4,663;10,537,832
78,840;944;51,728,870;5,831;20,575,668
86,707;1,099;100,576,333;43,982;52,340,924
75,676,911;48,220,481;13,255,816,416;204,290;4,508,182,904
104,524,778;48,218,680;22,876,870,459;253,770;9,388,760,628
322,473,023;48,245,458;53,830,293,211;360,864;29,384,198,396
473,884,541;301,014,372;83,029,725,043;533,123;28,235,422,904
633,630,846;301,257,855;143,502,039,754;643,481;58,916,720,628
1,096,445,281;302,487,403;339,438,308,953;809,553;185,462,558,540
1,881,235,990;1,204,928,992;332,358,363,234;964,948;113,020,822,904
2,519,030,065;1,225,331,400;574,702,873,429;1,258,977;235,983,320,628
4,522,662,934;1,835,594,093;1,361,770,605,623;1,686,373;744,273,158,540
